nom;pays;ville;adresse;latitude;longitude;prixMoyen;livraison;reservation;typeCuisine
Ah Chun Shandong Dumpling;Hong Kong SAR China;Hong Kong;60 Lai Chi Kok Road, Prince Edward, Hong Kong;22.3239663;114.1666817;50;non;non;Dumplings
Heartwarming (Prince Edward);Hong Kong SAR China;Hong Kong;23 Yu Chau Street, Prince Edward, Hong Kong;22.325844;114.1667597;50;non;non;Street Food
Yuan is Here (Western District);Hong Kong SAR China;Hong Kong;31 North Street, Western District, Hong Kong, Hong Kong SAR China;22.2825025;114.1291658;50;non;non;Taiwanese
Din Tai Fung (COD);;;SOHO, 2F, City of Dreams, Estrada do Istmo, Cotai, Macau;22.140643;113.5603989;50;non;non;Shanghainese
Chan Seng Kei;;;21 Rua Caetano, Coloane, Macau;22.1168061;113.5514554;50;non;non;Cantonese
Lok Kei Noodles (Patane);;;1-D Travessa da Saudade, Macau, Macau;22.2011387;113.5372218;50;non;non;Noodles and Congee
Lou Kei;;;Shop H&M, GF, Vang Kei Building, 12 Avenida Da Concõrdia N, Macau, Macau;22.2084446;113.5436374;50;non;non;Cantonese
She Wong Leung;Hong Kong SAR China;Hong Kong;Shop A, GF, 298 Electric Road, North Point, Hong Kong, Hong Kong SAR China;22.289986;114.194276;50;non;non;Cantonese
Wing Lai Yuen;Hong Kong SAR China;Hong Kong;Shop 102-105, 1F, Gourmet Place, Whampoa Plaza, Site 8, Whampoa Garden, 7 Tak On Street, Hung Hom, Hong Kong;22.3062745;114.1912219;50;non;non;Shanghainese
Wang Fu;Hong Kong SAR China;Hong Kong;168 Wellington Street, Central, Hong Kong, Hong Kong SAR China;22.284531;114.1533136;50;non;non;Dumplings
Tai Woo;Hong Kong SAR China;Hong Kong;9F, Causeway Bay Plaza 2, 463-483 Lockhart Road, Causeway Bay, Hong Kong;22.2805157;114.182205;50;non;non;Cantonese
Tim Ho Wan (Sham Shui Po);Hong Kong SAR China;Hong Kong;9-11 Fuk Wing Street, Sham Shui Po, Hong Kong, Hong Kong SAR China;22.3291186;114.1663677;50;non;non;Dim Sum
Tasty (Central);Hong Kong SAR China;Hong Kong;Shop 3016-3018, 3F, IFC Mall, 1 Harbour View Street, Central, Hong Kong, Hong Kong SAR China;22.285889;114.15816;50;non;non;Noodles and Congee
Trusty Congee King (Wan Chai);Hong Kong SAR China;Hong Kong;7 Heard Street, Wan Chai, Hong Kong, Hong Kong SAR China;22.2775458;114.1771157;50;non;non;Noodles and Congee
Tsim Chai Kee (Wellington Street);Hong Kong SAR China;Hong Kong;98 Wellington Street, Central, Hong Kong, Hong Kong SAR China;22.2830291;114.1544658;50;non;non;Noodles
Glorious Cuisine;Hong Kong SAR China;Hong Kong;31-33 Shek Kip Mei Street, Sham Shui Po, Hong Kong;22.329836;114.1650113;50;non;non;Cantonese
Kwan Kee Bamboo Noodles;Hong Kong SAR China;Hong Kong;Shop E, 1 Wing Lung Street, Cheung Sha Wan, Hong Kong;22.33759;114.15815;50;non;non;Noodles
Kau Kee;Hong Kong SAR China;Hong Kong;21 Gough Street, Central, Hong Kong, Hong Kong SAR China;22.2842716;114.152509;50;non;non;Noodles
Sang Kee;Hong Kong SAR China;Hong Kong;3-4F, Sunshine Plaza, 353 Lockhart Road, Wan Chai, Hong Kong, Hong Kong SAR China;22.2795496;114.1789;50;non;non;Cantonese
Megan's Kitchen;Hong Kong SAR China;Hong Kong;5F, Lucky Centre, 165-171 Wan Chai Road, Wan Chai, Hong Kong, Hong Kong SAR China;22.2768945;114.1770548;50;non;non;Cantonese
Po Kee;Hong Kong SAR China;Hong Kong;425P Queen's Road West, Western District, Hong Kong;22.2859032;114.1364004;50;non;non;Cantonese Roast Meats
Sister Wah;Hong Kong SAR China;Hong Kong;Shop A1, 13 Electric Road, Tin Hau, Hong Kong, Hong Kong SAR China;22.2833555;114.191605;50;non;non;Noodles
Eng Kee Noodle Shop;Hong Kong SAR China;Hong Kong;GF, 32 High Street, Sai Ying Pun, Hong Kong, Hong Kong SAR China;22.2850988;114.1423904;50;non;non;Noodles
Dragon Inn;Hong Kong SAR China;Hong Kong;Miles 19, Castle Peak Road, Tuen Mun, Hong Kong, Hong Kong SAR China;22.3804027;113.9820092;50;non;non;Seafood
Shugetsu Ramen (Central);Hong Kong SAR China;Hong Kong;5 Gough Street, Central, Hong Kong, Hong Kong SAR China;22.284133;114.1529359;50;non;non;Ramen
Ba Yi;Hong Kong SAR China;Hong Kong;43 Water Street, Sai Ying Pun, Hong Kong, Hong Kong SAR China;22.2853864;114.1390387;50;non;non;Xinjiang
Twins Liangpi Limited (Mong Kok);Hong Kong SAR China;Hong Kong;GF, 99 Hak Po Street, Mong Kok, Hong Kong, Hong Kong SAR China;22.3195906;114.1721304;50;non;non;Street Food
Yi Jia;Hong Kong SAR China;Hong Kong;Shop G04, Lime Gala, 393 Shau Kei Wan Road, Shau Kei Wan, Hong Kong, Hong Kong SAR China;22.2774544;114.2289404;50;non;non;Shanghainese
Fisholic (North Point);Hong Kong SAR China;Hong Kong;Shop 14, GF, Victor Court, 14-28 Wang On Road, North Point, Hong Kong;22.2883198;114.1920637;50;non;non;Street Food
Little Napoli;Hong Kong SAR China;Hong Kong;Shop 6, GF, 6-16 Tai Wong Street East, Wan Chai, Hong Kong, Hong Kong SAR China;22.2760356;114.1714626;50;non;non;Pizza
Ship Kee;Hong Kong SAR China;Hong Kong;6F, Hopewell Centre, 183 Queen's Road East, Wan Chai, Hong Kong;22.274976;114.171896;50;non;non;Cantonese
Din Tai Fung (Tsim Sha Tsui);Hong Kong SAR China;Hong Kong;Shop 306, 3F, Silvercord, 30 Canton Road, Tsim Sha Tsui, Hong Kong;22.2972864;114.1694396;50;non;non;Shanghainese
Keung Kee;Hong Kong SAR China;Hong Kong;406 Lockhart Road, Wan Chai, Hong Kong;22.279594;114.180225;50;non;non;Street Food
Seokyonanmyunbang;South Korea;Seoul;16 Donggyo-ro 12-gil, Mapo-gu, Seoul, 04029, South Korea;37.55359;126.91231;50;non;non;Noodles
Okdol Heyonok;South Korea;Seoul;26-1 Ogeum-ro  36-gil, Songpa-gu, Seoul, 05700, South Korea;37.50153;127.12408;50;non;non;Naengmyeon
Gomtang Lab;South Korea;Seoul;153 Dosan-daero, Gangnam-gu, Seoul, 06037, South Korea;37.51883;127.02521;50;non;non;Gomtang
Jeongjitgan;South Korea;Busan;6 Bibong-ro, Saha-gu, Busan, 49419, South Korea;35.09561;128.96248;50;non;non;Dwaeji-gukbap
Mipildam;South Korea;Seoul;22 Seongji 3-gil, Mapo-gu, Seoul, 04083, South Korea;37.54658;126.91419;50;non;non;Mandu
Hanwolgwan;South Korea;Busan;10 Gwangan-ro 62 beon-gil, Suyeong-gu, Busan, 48303, South Korea;35.15469;129.11854;50;non;non;Gomtang
Nishimuramen;South Korea;Seoul;4F, 265 Donggyo-ro, Mapo-gu, Seoul, 03983, South Korea;37.56337;126.92526;50;non;non;Ramen
Hapjeongok;South Korea;Seoul;2F, 21 Yanghwa-ro 1-gil, Mapo-gu, Seoul, 04026, South Korea;37.54944;126.91037;50;non;non;Gomtang
Base is nice;South Korea;Seoul;20 Dohwa 2-gil, Mapo-gu, Seoul, 04171, South Korea;37.53958;126.94908;50;non;non;Vegetarian
Jin Jin;South Korea;Seoul;60 World Cup buk-ro 1-gil, Mapo-gu, Seoul, 04031, South Korea;37.55777;126.91324;50;non;non;Chinese
Manjok Ohyang Jokbal;South Korea;Seoul;134-7 Seosomun-ro, Jung-gu, Seoul, 04514, South Korea;37.56324;126.97598;50;non;non;Jokbal
Yurimmyeon;South Korea;Seoul;139-1 Seosomun-ro, Jung-gu, Seoul, 04515, South Korea;37.56419;126.9761;50;non;non;Memil-guksu
Mijin;South Korea;Seoul;#116-2 le Meilleur Jongno town, 19 Jong-ro, Jongno-gu, Seoul, 03157, South Korea;37.5708;126.97985;50;non;non;Memil-guksu
Mapo Ok;South Korea;Seoul;312 Tojeong-ro, Mapo-gu, Seoul, 04165, South Korea;37.53983;126.94332;50;non;non;Seolleongtang
Oreno Ramen;South Korea;Seoul;14 Dongmak-ro 6-gil, Mapo-gu, Seoul, 04072, South Korea;37.54744;126.91729;50;non;non;Ramen
Subaru;South Korea;Seoul;7 Bangbae-jungangno 21-gil, Seocho-gu, Seoul, 06560, South Korea;37.49234;126.98611;50;non;non;Soba
Hwanggeum Kongbat;South Korea;Seoul;9 Mapo-daero 16-gil, Mapo-gu, Seoul, 04205, South Korea;37.5509;126.9567;50;non;non;Dubu
Hwangsaengga Kalguksu;South Korea;Seoul;78 Bukchon-ro 5-gil, Jongno-gu, Seoul, 03053, South Korea;37.58003;126.98065;50;non;non;Kalguksu
Myeongdong Kyoja;South Korea;Seoul;29 Myeongdong 10-gil, Jung-gu, Seoul, 04537, South Korea;37.56347;126.984552;50;non;non;Kalguksu
Mandujip;South Korea;Seoul;338 Apgujeong-ro, Gangnam-gu, Seoul, 06018, South Korea;37.52785;127.03898;50;non;non;Mandu
Daesungjip;South Korea;Seoul;5 Sajik-ro, Jongno-gu, Seoul, 03029, South Korea;37.57269;126.96091;50;non;non;Doganitang
Halmaejip;South Korea;Seoul;1-5 Sajik-ro 12-gil, Jongno-gu, Seoul, 03169, South Korea;37.57563;126.9714;50;non;non;Jokbal
Gaeseong Mandu Koong;South Korea;Seoul;11-3 Insadong 10-gil, Jongno-gu, Seoul, 03146, South Korea;37.57423;126.98539;50;non;non;Mandu
Samcheongdong Sujebi;South Korea;Seoul;101-1 Samcheong-ro, Jongno-gu, Seoul, 03049, South Korea;37.58449;126.89189;50;non;non;Sujebi
Jungin Myeonok;South Korea;Seoul;10 Gukhoe-daero 76-gil, Yeongdeungpo-gu, Seoul, 07238, South Korea;37.5307;126.92167;50;non;non;Naengmyeon
Shunsai Kubo;South Korea;Busan;17 Yangdal-ro 4 beon-gil, Buk-gu, Busan, 46517, South Korea;35.24088;129.01472;50;non;non;Unagi / Freshwater Eel
Hapcheon Gukbapjip;South Korea;Busan;235 Yongho-ro, Nam-gu, Busan, 48593, South Korea;35.11124;129.11127;50;non;non;Dwaeji-gukbap
Bao Haus;South Korea;Busan;2F, 62-9 Seojeon-ro 38 beon-gil, Busanjin-gu, Busan, 47294, South Korea;35.15488;129.06335;50;non;non;Taiwanese
HORAPA;South Korea;Seoul;2F, 37-1 Jahamun-ro, Jongno-gu, Seoul, 03040, South Korea;37.57938;126.9711;50;non;non;Thai
Damtaek;South Korea;Seoul;34 World Cup-ro 8-gil, Mapo-gu, Seoul, 04035, South Korea;37.55316;126.91412;50;non;non;Ramen
ARP;South Korea;Busan;35 Taejong-ro 99 beon-gil, Yeongdo-gu, Busan, 49035, South Korea;35.09293;129.04258;50;non;non;Vegan
Sarukame;South Korea;Seoul;15 Yeonnam-ro, Mapo-gu, Seoul, 03990, South Korea;37.56103;126.92267;50;non;non;Ramen
Jeongmyeon;South Korea;Seoul;88 Neungdong-ro 13-gil, Gwangjin-gu, Seoul, 05012, South Korea;37.54551;127.06866;50;non;non;Noodles
Bibijae;South Korea;Busan;45 Namcheonbada-ro 10 beon-gil, Suyeong-gu, Busan, 48314, South Korea;35.14795;129.11142;50;non;non;Bibimbap
Myeon Seoul;South Korea;Seoul;805 Seolleung-ro, Gangnam-gu, Seoul, 06019, South Korea;37.52416;127.03906;50;non;non;Noodles
Ggupdang;South Korea;Seoul;615 Gangnam-daero, Seocho-gu, Seoul, 06524, South Korea;37.5166307;127.0188926;50;non;non;Barbecue
FAGP;South Korea;Seoul;136 Wangsimni-ro, Seongdong-gu, Seoul, 04789, South Korea;37.54964;127.04456;50;non;non;Italian
Gebangsikdang;South Korea;Seoul;17 Seolleung-ro 131-gil, Gangnam-gu, Seoul, 06060, South Korea;37.51727;127.03942;50;non;non;Gejang
Woo Lae Oak;South Korea;Seoul;62-29 Changgyeonggung-ro, Jung-gu, Seoul, 04546, South Korea;37.56815;126.99866;50;non;non;Naengmyeon
Geumdwaeji Sikdang;South Korea;Seoul;149 Dasan-ro, Jung-gu, Seoul, 04607, South Korea;37.55705;127.01165;50;non;non;Barbecue
Yangyang Memil Makguksu;South Korea;Seoul;10 Donggwang-ro 15-gil, Seocho-gu, Seoul, 06561, South Korea;37.49247;126.98826;50;non;non;Memil-guksu
Okdongsik;South Korea;Seoul;44-10 Yanghwa-ro 7-gil, Mapo-gu, Seoul, 04035, South Korea;37.55261;126.91449;50;non;non;Dwaeji-gukbap
Pildong Myeonok;South Korea;Seoul;26 Seoae-ro, Jung-gu, Seoul, 04624, South Korea;37.56035;126.99689;50;non;non;Naengmyeon
Goobok Mandu;South Korea;Seoul;7 Duteopbawi-ro, Yongsan-gu, Seoul, 04335, South Korea;37.54501;126.97318;50;non;non;Dim Sum
Yukjeon Hoekwan;South Korea;Seoul;47 Tojeong-ro 37-gil, Mapo-gu, Seoul, 04155, South Korea;37.566;126.947;50;non;non;Bulgogi
Yonggeumok;South Korea;Seoul;41-2 Jahamun-ro, Jongno-gu, Seoul, 03036, South Korea;37.57972;126.97088;50;non;non;Chueotang
Buchon Yukhoe;South Korea;Seoul;200-12 Jong-ro, Jongno-gu, Seoul, 03195, South Korea;37.57034;126.99991;50;non;non;Yukhoe
A Flower Blossom on the Rice;South Korea;Seoul;3-6 Insadong 16-gil, Jongno-gu, Seoul, 03146, South Korea;37.57535;126.98404;50;non;non;Korean
Mattdol;South Korea;Seoul;63 Seongdeokjeong-gil, Seongdong-gu, Seoul, 04775, South Korea;37.53808;127.05065;50;non;non;Mexican
Loveurth;South Korea;Busan;32-1 Gwangan-ro 49 beon-gil, Suyeong-gu, Busan, 48296, South Korea;35.15644;129.1185;50;non;non;Vegan
Haemok;South Korea;Busan;8 Gunam-ro 24 beon-gil, Haeundae-gu, Busan, 48094, South Korea;35.16174;129.15977;50;non;non;Japanese
Youhan;South Korea;Seoul;10-5, Daesagwan-ro 5-gil, Yongsna-gu, Seoul, 04400, South Korea;37.53482;127.00108;50;non;non;Thai
ALT.a;South Korea;Seoul;109 Bogwang-ro, Yongsan-gu, Seoul, 04391, South Korea;37.53245;126.99446;50;non;non;Vegan
Seoryung;South Korea;Seoul;10 Sowol-ro, Jung-gu, Seoul, 04527, South Korea;37.55857;126.97546;50;non;non;Memil-guksu
Neungdong Minari;South Korea;Seoul;28 Hangang-daero 40-gil, Yongsan-gu, Seoul, 04386, South Korea;37.53008;126.97078;50;non;non;Gomtang
100.1.Pyeongnaeng;South Korea;Busan;29 Namcheonbada-ro 10 beon-gil, Suyeong-gu, Busan, 48314, South Korea;35.14855;129.11164;50;non;non;Naengmyeon
PILI PILI;South Korea;Busan;54 Muhak-ro 33 beon-gil, Suyeong-gu, Busan, 48268, South Korea;35.16379;129.11807;50;non;non;Thai
Nagahama Mangetsu;South Korea;Busan;57 Udong 1-ro, Haeundae-gu, Busan, 48088, South Korea;35.16664;129.15748;50;non;non;Ramen
Egg & Flour;South Korea;Seoul;2F, 35 Shinheung-ro 26-gil, Yongsan-gu, Seoul, 04337, South Korea;37.545342;126.984447;50;non;non;Italian
Hyun Udon;South Korea;Seoul;53 Nonhyeon-ro 149-gil, Gangnam-gu, Seoul, 06039, South Korea;37.51698;127.02429;50;non;non;Udon
Tasty Cube;South Korea;Seoul;22-8 Yeonsei-ro 5da-gil, Seodaemun-gu, Seoul, 03789, South Korea;37.55665;126.93576;50;non;non;Noodles
Niroumianguan;South Korea;Seoul;75-2 Cheonggyecheon-ro, Jongno-gu, Seoul, 03190, South Korea;37.56854;126.98612;50;non;non;Noodles
Gwanghwamun Gukbap;South Korea;Seoul;53 Sejong-daero 21-gil, Jung-gu, Seoul, 04519, South Korea;37.5689;126.97541;50;non;non;Dwaeji-gukbap
Limbyungjoo Sandong Kalguksu;South Korea;Seoul;65 Gangnam-daero 37-gil, Seocho-gu, Seoul, 06734, South Korea;37.48458;127.02988;50;non;non;Kalguksu
Kyodaiya;South Korea;Seoul;39 Seongji-gil, Mapo-gu, Seoul, 04083, South Korea;37.54681;126.91317;50;non;non;Udon
Tuk Tuk Noodle Thai;South Korea;Seoul;161-8 Seongmisan-ro, Mapo-gu, Seoul, 03980, South Korea;37.56514;126.92401;50;non;non;Thai
Jaha Son Mandu;South Korea;Seoul;12 Baekseokdong-gil, Jongno-gu, Seoul, 03020, South Korea;37.59309;126.96603;50;non;non;Mandu
Hwa Hae Dang;South Korea;Seoul;15 Gukhoe-daero 62-gil, Yeongdeungpo-gu, Seoul, 07236, South Korea;37.52689;126.91706;50;non;non;Gejang
Niurou mian guan zi;South Korea;Busan;25-4 Suyeong-ro 388 beon-gil, Suyeong-gu, Busan, 48311, South Korea;35.14029;129.10842;50;non;non;Taiwanese
Damiok;South Korea;Busan;#103, 15 Bokji-ro, Busanjin-gu, Busan, 47328, South Korea;35.15186;129.02054;50;non;non;Naengmyeon
ANAM;South Korea;Seoul;10 Bukchon-ro 5-gil, Jongno-gu, Seoul, 03055, South Korea;37.57939;126.98446;50;non;non;Dwaeji-gukbap
Yakitori Onjung;South Korea;Busan;9-7 Dongcheon-ro 108 beon-gil, Busanjin-Gu, Busan, 47247, South Korea;35.15866;129.06284;50;non;non;Yakitori
Kyewol Gomtang;South Korea;Seoul;8 Seongdeokjeong 3-gil, Seongdong-gu, Seoul, 04774, South Korea;37.53952;127.04762;50;non;non;Gomtang
Cor Pasta bar;South Korea;Busan;2F, 13 Dongseong-ro 25 beon-gil, Busanjin-gu, Busan, 47305, South Korea;35.15264;129.06769;50;non;non;Italian
Tokyo Babsang;South Korea;Busan;34-6 Namcheonbada-ro, Suyeong-gu, Busan, 48304, South Korea;35.14839;129.11386;50;non;non;Unagi / Freshwater Eel
Anmok;South Korea;Busan;3 Gwangnam-ro 22 beon-gil, Suyeong-gu, Busan, 48307, South Korea;35.14492;129.11076;50;non;non;Dwaeji-gukbap
Buda Myeonoak;South Korea;Busan;2F, 36 Jungdong 1-ro, Haeundae-gu, Busan, 48095, South Korea;35.16237;129.16298;50;non;non;Naengmyeon
Canalha;Portugal;Lisbon;Rua da Junqueira 207, Lisbon, 1300-338, Portugal;38.6975339;-9.1932121;40;non;non;Farm to table
Machado;Portugal;Nogueira;Rua Doutor António José de Almeida 467, Nogueira, 4475-456, Portugal;41.2404799;-8.5912502;20;non;non;Traditional Cuisine
Marquês de Marialva;Portugal;Cantanhede;Largo do Romal 16, Cantanhede, 3060-129, Portugal;40.34865;-8.59263;20;non;non;Traditional Cuisine
Flora;Portugal;Viseu;Grão Vasco 21, Viseu, 3500-138, Portugal;40.6595756;-7.9121616;40;non;non;Modern Cuisine
Pátio 44;Portugal;Porto;Passeio De São Lázaro, 44, Porto, 4000 508, Portugal;41.146449;-8.6022694;20;non;non;Traditional Cuisine
PODA;Portugal;Montemor-o-Novo;Rua Sacadura Cabral 25, Montemor-o-Novo, 7050 304, Portugal;38.6494423;-8.2150977;20;non;non;Regional Cuisine
OMA;Portugal;Porto;Rua De Oliveira Monteiro, 183, Porto, 4050-442, Portugal;41.1576644;-8.6219839;40;non;non;Contemporary
Terruja;Portugal;Alvados;Rua Dom Fuas Roupinho, 194, Alvados, 2480-032, Portugal;39.5470992;-8.7724895;40;non;non;Creative
Camelo;Portugal;Viana do Castelo;Rua de Santa Marta 119, Viana do Castelo, 4925-104, Portugal;41.7093706;-8.772368;20;non;non;Regional Cuisine
Tasquinha da Linda;Portugal;Viana do Castelo;Rua dos Mareantes A-10, Viana do Castelo, 4900-351, Portugal;41.6887829;-8.8366845;40;non;non;Seafood
Solar do Forcado;Portugal;Portalegre;Rua Candido dos Reis 14, Portalegre, 7300-129, Portugal;39.2907546;-7.4294786;20;non;non;Traditional Cuisine
O Típico;Portugal;Águeda;Rua Doutor Manuel Alegre 42, Águeda, 3750-139, Portugal;40.5761576;-8.4427506;20;non;non;Traditional Cuisine
Dóri;Portugal;Costa Nova do Prado;Rua das Companhas, Costa Nova do Prado, 3830-453, Portugal;40.6111673;-8.7495746;40;non;non;Seafood
Casal da Penha;Portugal;Funchal;Rua Penha de França - Beco do Ataíde n.1, Funchal, 9000-014, Portugal;32.642883;-16.919317;40;non;non;Portuguese
O Javali;Portugal;Bragança;Quinta do Reconco 6, Bragança, 5300-672, Portugal;41.83615;-6.7476006;40;non;non;Regional Cuisine
Contradição;Portugal;Bragança;Rua da Cidadela, 92, Bragança, 5300 025, Portugal;41.803652;-6.7504612;40;non;non;Traditional Cuisine
Solar do Bacalhau;Portugal;Coimbra;Rua da Sota 10, Coimbra, 3000-392, Portugal;40.2085689;-8.4309703;20;non;non;Portuguese
Xtoria;Portugal;Setúbal;Rua Guilherme Gomes Fernandes 17, Setúbal, 2900-395, Portugal;38.52043;-8.9010617;20;non;non;Contemporary
Casa Chef Victor Felisberto;Portugal;Abrantes;Rua Francisco Ferreira da Mata 99, Abrantes, 2200-223, Portugal;39.469672;-8.1986648;40;non;non;Meats and Grills
3 Pipos;Portugal;Tonda;Rua de Santo Amaro 966, Tonda, 3460-479, Portugal;40.4971827;-8.0718486;20;non;non;Regional Cuisine
Pigmeu;Portugal;Lisbon;Rua do 4 De Infantaria 68, Lisbon, 1350-274, Portugal;38.7199129;-9.1647965;40;non;non;Portuguese
O Pastus;Portugal;Paço de Arcos;Avenida Marquês De Pombal 5, Paço de Arcos, 2770-066, Portugal;38.6940104;-9.2929161;40;non;non;Portuguese
Inato Bistrô;Portugal;Braga;Praça do Município 7, Braga, 4700 435, Portugal;41.5508023;-8.4275041;20;non;non;Creative
Olaias;Portugal;Figueira da Foz;Rua Abade Pedro 2 - Centro de Artes e Espectáculos, Figueira da Foz, 3080 081, Portugal;40.153035;-8.8604194;40;non;non;Portuguese
Carnal;Portugal;Lisbon;Rua da Misericordia 78, Lisbon, 1200 273, Portugal;38.7124157;-9.1430035;40;non;non;Mexican
Norma;Portugal;Guimaraes;Rua Doutor José Sampaio 35, Guimaraes, 4810 275, Portugal;41.4427754;-8.2905021;40;non;non;Creative
Zunzum Gastrobar;Portugal;Lisbon;Avenida Infante D. Henrique. Doca do Jardim do Tabaco, Lisbon, 1100-651, Portugal;38.7120997;-9.1241681;40;non;non;Contemporary
Ofício - Tasco Atípico;Portugal;Lisbon;Rua Nova da Trindade 11, Lisbon, 1200-301, Portugal;38.7122215;-9.1425152;40;non;non;Traditional Cuisine
Terrone;Malta;Birgu;Fort St. Angelo, Birgu Waterfront, Birgu, BRG 1734, Malta;35.8914933;14.5193119;40;non;non;Seafood
AYU;Malta;Gzira;209 The Strand, Gzira, GZR 1023, Malta;35.9044112;14.4957256;20;non;non;World Cuisine
Grain Street;Malta;Valletta;167 Merchants Street, Valletta, VLT 1174, Malta;35.898901;14.5154391;40;non;non;Modern Cuisine
Rubino;Malta;Valletta;53 Old Bakery Street, Valletta, VLT 1454, Malta;35.899322;14.5121358;40;non;non;Traditional Cuisine
Commando;Malta;Mellieħa;Misraħ Iz-Żjara tal-Papa, Mellieħa, MLH 1080, Malta;35.9595886;14.3615857;40;non;non;Mediterranean Cuisine
Mambow;United Kingdom;London;78 Lower Clapton Road, Clapton, London, E5 0RN, United Kingdom;51.5528237;-0.0527759;50;non;non;Malaysian
OTHER;United Kingdom;City of Bristol;32 Cannon Street, Bedminster, City of Bristol, BS3 1BN, United Kingdom;51.441328;-2.6012076;50;non;non;Sharing
Goat On The Roof;United Kingdom;Newbury;1 Bridge Street, Newbury, RG14 5BE, United Kingdom;51.4014054;-1.3242528;50;non;non;Regional Cuisine
THE SCHELLY;United Kingdom;Ambleside;Church Street, Ambleside, LA22 OBU, United Kingdom;54.430997;-2.9623619;50;non;non;Regional Cuisine
Horse & Groom;United Kingdom;Bourton on the Hill;Bourton on the Hill, GL56 9AQ, United Kingdom;51.99142;-1.74804;50;non;non;Traditional British
Margo;United Kingdom;Glasgow City;68 Miller Street, Glasgow City, G1 1DT, United Kingdom;55.8592772;-4.2507632;50;non;non;Mediterranean Cuisine
daróg;Ireland;Galway;56 Lower Dominick Street, Galway, H91 K225, Ireland;53.271021;-9.0569245;40;non;non;Modern Cuisine
Morchella;United Kingdom;London;84-86 Rosebery Avenue, Islington, London, EC1R 4QY, United Kingdom;51.5266576;-0.1085719;50;non;non;Mediterranean Cuisine
mrDeanes;United Kingdom;Belfast;28-40 Howard Street, Belfast, BT1 6PF, United Kingdom;54.5957807;-5.9327602;50;non;non;Modern Cuisine
Bavette;United Kingdom;Horsforth;4-6 Town Street, Horsforth, LS18 4RJ, United Kingdom;53.8367894;-1.6422927;50;non;non;French
Imad's Syrian Kitchen;United Kingdom;London;2.14-2.16 Kingly Court, Carnaby Street, Soho, London, W1B 5PW, United Kingdom;51.5130079;-0.1392668;50;non;non;Middle Eastern
Burnt Orange;United Kingdom;Brighton and Hove;59 Middle Street, Brighton and Hove, BN1 1AL, United Kingdom;50.8215837;-0.142865;50;non;non;Mediterranean Cuisine
Skua;United Kingdom;Edinburgh;49 St Stephen Street,  Stockbridge, Edinburgh, EH3 5AH, United Kingdom;55.9580028;-3.2065969;50;non;non;Modern British
pahli hill;United Kingdom;London;70-81 Mortimer Street, Fitzrovia, London, W1W 7SJ, United Kingdom;51.5176179;-0.1411106;50;non;non;Indian
Spitalfields;Ireland;Dublin City;25 The Coombe, Dublin City, D08 YV07, Ireland;53.3397366;-6.2757384;40;non;non;Traditional Cuisine
Heathcock;United Kingdom;Cardiff;58 Bridge Street, Cardiff, CF5 2EN, United Kingdom;51.4964368;-3.2225833;50;non;non;British Contemporary
Legare;United Kingdom;London;Cardamom Building, 31G Shad Thames, Butlers Wharf, London, SE1 2YR, United Kingdom;51.5034424;-0.0737126;50;non;non;Italian
Sardine Factory;United Kingdom;Looe;Quay Road, West Looe, Looe, PL13 2BX, United Kingdom;50.3523883;-4.4549325;50;non;non;Seafood
Hitchen's Barn;United Kingdom;Oakham;12 Burley Road, Oakham, LE15 6DH, United Kingdom;52.670097;-0.7262041;50;non;non;Modern British
Beckford Bottle Shop;United Kingdom;Bath;5-8 Saville Row, Bath, BA1 2QP, United Kingdom;51.3865028;-2.3621436;50;non;non;Modern British
Ka Pao;United Kingdom;Glasgow City;Botanic Gardens Garage, 26 Vinicombe Street, Glasgow City, G12 8BE, United Kingdom;55.8771492;-4.2903888;50;non;non;Asian
GaGa;United Kingdom;Glasgow City;566 Dumbarton Road, Partick, Glasgow City, G11 6RH, United Kingdom;55.8707528;-4.3153376;50;non;non;Malaysian
Donia;United Kingdom;London;2.14 Top Floor Kingly Court, Carnaby St, Soho, London, W1B 5PW, United Kingdom;51.5127563;-0.1387825;50;non;non;Filipino
Briar;United Kingdom;Bruton;1 High Street, Bruton, BA10 0AB, United Kingdom;51.1124836;-2.453668;50;non;non;Contemporary
Wildebeest;United Kingdom;Stoke Holy Cross;82 - 86 Norwich Road, Stoke Holy Cross, NR14 8QJ, United Kingdom;52.5689339;1.2966302;50;non;non;Modern British
Solas;Ireland;Dingle;Unit 1, Strand Street, Dingle, V92 FEF2, Ireland;52.1394271;-10.2740471;40;non;non;Spanish
Goldie;Ireland;Cork;128 Oliver Plunkett Street, Cork, T12 X5P8, Ireland;51.8984766;-8.4684363;40;non;non;Seafood
The Spärrows;United Kingdom;Manchester;16 Red Bank, Green Quarter, Manchester, M4 4HF, United Kingdom;53.4924759;-2.2368382;50;non;non;Modern Cuisine
The Galley;United Kingdom;Topsham;41 Fore Street, Topsham, EX3 0HU, United Kingdom;50.6816212;-3.4646891;50;non;non;Seafood
Marmo;United Kingdom;City of Bristol;31 Baldwin Street, City of Bristol, BS1 1RG, United Kingdom;51.4535493;-2.5943617;50;non;non;Italian
Noto;United Kingdom;Edinburgh;47a Thistle Street, Edinburgh, EH2 1DY, United Kingdom;55.9540219;-3.1993193;50;non;non;Asian Influences
