nom;pays;ville;adresse;latitude;longitude;prixMoyen;livraison;reservation;typeCuisine
T'ang Court;;;1-2F, The Langham Hotel, 8 Peking Road, Tsim Sha Tsui, Hong Kong;22.296572;114.1698;50;non;non;Cantonese
Sushi Shikon;;;7F, The Landmark Mandarin Oriental Hotel, 15 Queen's Road Central, Central, Hong Kong;22.2806103;114.1577893;50;non;non;Sushi
Jade Dragon;;;2F, The Shops at the Boulevard, City of Dreams, Estrada do Istmo, Cotai, Macau;22.149137;113.56715;50;non;non;Cantonese
8 1/2 Otto e Mezzo - Bombana;;;Shop 202, 2F, Alexandra House, 18 Chater Road, Central, Hong Kong, Hong Kong SAR China;22.2814635;114.15867;50;non;non;Italian
Forum;;;1F, Sino Plaza, 255-257 Gloucester Road, Causeway Bay, Hong Kong;22.2813972;114.1821905;50;non;non;Cantonese
Amber;;;7F, The Landmark Mandarin Oriental Hotel, 15 Queen's Road Central, Central, Hong Kong, Hong Kong SAR China;22.2805311;114.1577065;50;non;non;French Contemporary
Mingles;South Korea;Seoul;2F, 19 Dosan-daero 67-gil, Gangnam-gu, Seoul, 06016, South Korea;37.52535;127.04426;50;non;non;Korean
L'Enclume;United Kingdom;Cartmel;Cavendish Street, Cartmel, LA11 6QA, United Kingdom;54.2017708;-2.9538681;50;non;non;Creative British
Alain Ducasse at The Dorchester;United Kingdom;London;Park Lane, Mayfair, London, W1K 1QA, United Kingdom;51.5073381;-0.152575;50;non;non;French
Hélène Darroze at The Connaught;United Kingdom;London;Carlos Place, Mayfair, London, W1K 2AL, United Kingdom;51.510188;-0.1492905;50;non;non;Modern Cuisine
Restaurant Gordon Ramsay;United Kingdom;London;68-69 Royal Hospital Road, Chelsea, London, SW3 4HP, United Kingdom;51.4854381;-0.1621766;50;non;non;French
Fat Duck;United Kingdom;Bray;High Street, Bray, SL6 2AQ, United Kingdom;51.5078582;-0.7017529;50;non;non;Creative
Waterside Inn;United Kingdom;Bray;Ferry Road, Bray, SL6 2AT, United Kingdom;51.5091092;-0.6994376;50;non;non;Classic French
Sketch, The Lecture Room and Library;United Kingdom;London;9 Conduit Street, Mayfair, London, W1S 2XG, United Kingdom;51.5126775;-0.1415369;50;non;non;Modern French
The Ledbury;United Kingdom;London;127 Ledbury Road, Notting Hill, London, W11 2AQ, United Kingdom;51.516681;-0.2000731;50;non;non;Modern Cuisine
Moor Hall;United Kingdom;Aughton;Prescot Road, Aughton, L39 6RT, United Kingdom;53.5423365;-2.8919183;50;non;non;Modern British
CORE by Clare Smyth;United Kingdom;London;92 Kensington Park Road, Notting Hill, London, W11 2PN, United Kingdom;51.5126689;-0.2030649;50;non;non;Modern British
Steirereck im Stadtpark;Austria;Vienna;Am Heumarkt 2a, Vienna, 1030, Austria;48.2043967;16.3815669;120;non;non;Creative
Amador;Austria;Vienna;Grinzinger Straße 86, Vienna, 1190, Austria;48.2539745;16.3586534;120;non;non;Creative
Jungsik New York;USA;New York;2 Harrison St., New York, 10013, USA;40.7187256;-74.0091114;50;non;non;Korean
Per Se;USA;New York;10 Columbus Circle, New York, 10019, USA;40.7680545;-73.9825882;50;non;non;Contemporary
Le Bernardin;USA;New York;155 W. 51st St., New York, 10019, USA;40.76177;-73.98223;50;non;non;Seafood
Eleven Madison Park;USA;New York;11 Madison Ave., New York, 10010, USA;40.7415543;-73.9872414;50;non;non;Vegan
Masa;USA;New York;10 Columbus Circle, New York, 10019, USA;40.76819;-73.98234;50;non;non;Japanese
The Inn at Little Washington;USA;Washington;309 Middle St., Washington, 22747, USA;38.7134767;-78.1595348;50;non;non;American
Smyth;USA;Chicago;177 N. Ada St., Chicago, 60607, USA;41.8850485;-87.6606324;50;non;non;Contemporary
Alinea;USA;Chicago;1723 N. Halsted St., Chicago, 60614, USA;41.9132737;-87.648174;50;non;non;Creative
Sorn;Thailand;Bangkok;56 Soi Sukhumvit 26, Khlong Tan, Khlong Toei, Bangkok, 10110, Thailand;13.7231336;100.5684937;50;non;non;Southern Thai
Azurmendi;Spain;Larrabetzu;Legina Auzoa, Larrabetzu, 48195, Spain;43.26065;-2.81454;120;non;non;Creative
Aponiente;Spain;El Puerto de Santa María;Francisco Cossi Ochoa, El Puerto de Santa María, 11500, Spain;36.6033273;-6.2164435;120;non;non;Creative
DiverXO;Spain;Madrid;Padre Damián 23, Madrid, 28036, Spain;40.4582913;-3.6856715;120;non;non;Creative
Noor;Spain;Córdoba;Pablo Ruiz Picasso 8, Córdoba, 14014, Spain;37.8899393;-4.7585272;120;non;non;Creative
Cenador de Amós;Spain;Villaverde de Pontones;Plaza del Sol, Villaverde de Pontones, 39793, Spain;43.4124884;-3.6988243;120;non;non;Modern Cuisine
Quique Dacosta;Spain;Dénia;Rascassa 1, Dénia, 03700, Spain;38.8537884;0.0852209;120;non;non;Creative
Atrio;Spain;Cáceres;Plaza San Mateo 1, Cáceres, 10003, Spain;39.4730183;-6.3713456;120;non;non;Creative
Casa Marcial;Spain;Arriondas;La Salgar, Arriondas, 33549, Spain;43.4184082;-5.1931556;120;non;non;Creative
El Celler de Can Roca;Spain;Girona;Can Sunyer 48, Girona, 17007, Spain;41.9932026;2.807927;120;non;non;Creative
Akelaŕe;Spain;Donostia / San Sebastián;Paseo del Padre Orcolaga 56, Donostia / San Sebastián, 20008, Spain;43.3027805;-2.0731493;120;non;non;Creative
Martín Berasategui;Spain;Lasarte - Oria;Loidi 4, Lasarte - Oria, 20160, Spain;43.2669352;-2.0157211;120;non;non;Creative
Lasarte;Spain;Barcelona;Mallorca 259, Barcelona, 08008, Spain;41.3936278;2.1622018;120;non;non;Creative
ABaC;Spain;Barcelona;Avenida del Tibidabo 1, Barcelona, 08022, Spain;41.4103822;2.1367664;120;non;non;Creative
Disfrutar;Spain;Barcelona;Villarroel 163, Barcelona, 08036, Spain;41.3879756;2.1530369;120;non;non;Creative
Arzak;Spain;Donostia / San Sebastián;Avenida Alcalde José Elosegi 273, Donostia / San Sebastián, 20015, Spain;43.3214016;-1.9490932;120;non;non;Creative
Cocina Hermanos Torres;Spain;Barcelona;Taquígraf Serra 20, Barcelona, 08029, Spain;41.3865273;2.1400168;120;non;non;Creative
Ultraviolet by Paul Pairet;China Mainland;Shanghai;'somewhere in Shanghai' - meet at Mr & Mrs Bund restaurant - 6F, Bund 18, 18 Zhongshan Dong Yi Road, Huangpu, Shanghai, China Mainland;31.240358;121.48509;50;non;non;Innovative
